gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
classical risk theory, nonlinear dividend barrier, discounted dividend payments, Risk theory, nonlinear dividend, dividend barrier, framework of classical, investigate a surplus, derive equations, probability of survival, expected sum, sum of discounted, classical risk, surplus process, parabolic dividend barrier
left Ore ring, introduced to provide, provide a basis, nonlinear control systems, non-commutative rings, nonlinear time-delay systems, Ore ring, systems, time delays, nonlinear control, control systems, generalized Roesser systems, nonlinear, time-delay systems, Analysis of nonlinear
modeling agent conversations, conversations, sequences of messages, commit, joint activity, conversation policies, modeling agent, activity, messages exchanged, interacting agents, commitments, obligations, specifications, model, Contract Net Protocol
problem discussed involves, discussed involves formulating, regional surveillance problem, surveillance problem discussed, Mission planning, problem discussed, discussed involves, involves formulating, geographical region, aircraft to scan, surveillance problem, planning for regional, flight route, optimised flight route, regional
scholarly publishing marketplace, SPARC ignites scholarly, ignites scholarly publishing, past several years, bring together librarians, university administrators, Academic Resources Coalition, administrators and independent, independent publishers, publishers have re-invigorated, publishing marketplace, SPARC ignites, Resources Coalition, researchers, scholarly
Ant colony optimization, stochastic gradient descent, Ant colony, gradient descent, ACO algorithms, study the relationship, empirical ACO algorithms, ACO algorithms approximate, approximate stochastic gradient, ACO, descent, gradient, stochastic, empirical ACO, algorithms approximate stochastic
survey Constant advances, resource demanding videoconferencing, survey Constant, video compression, higher speed, larger memory, advances in audio, computing devices, improvement in computing, resource demanding, Internet, multicast protocol, fast improvement, videoconferencing, multicast
English Web access, English Web, Web access, electronic news stand, stand readily, English language versions, non-North American sites, variety of foreign, sites, Web, English language, English, American sites, English-language publications, foreign sites
IIW Institute, Information Management, viral communication paradigm, dealing with commercial, commercial applications, viral communication, Direct Marketing, identifies viral messages, viral messages, digital printing, communication The IIW, Viral messages underlie, Management, Internet, viral
electronic commerce, possibilities for trade, data, data management, Business data, commerce, Business, electronic, Business data management, electronic marketplace, management, opens, trade, negotiations, sophisticated data management
locally regularised orthogonal, regularised orthogonal least-squares, locally regularised, orthogonal least-squares, paper considers data, data modelling, multi-output regression models, multi-output orthogonal least-squares, regression, Multi-output, orthogonal, regression models, least-squares, regularised, locally
systematic review, making diagnostic, conducted a systematic, classes of application, literature to evaluate, diagnostic and management, management decisions, telemedicine for making, telemedicine, making, systematic, review, home-based telemedicine, evidence, diagnostic
