gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
Operations Research techniques, Operations Research, adoption of Operations, tight flight schedules, Research techniques, survey The explosive, explosive growth, growth in air, air traffic, widespread adoption, rise to tight, airports recover, tight flight, major airports, flight schedules
Rapid Cauer filter, coaxial Cauer filter, Cauer filter design, Cauer filter employing, filter design employing, Cauer filter, Rapid Cauer, filter model, coaxial Cauer, exact three-dimensional, filter design, filter employing, field simulator, circuit simulator, design employing
linguistic criteria evaluation, fuzzy numbers, fuzzy, fuzzy decision, aggregate fuzzy numbers, fuzzy decision matrix, fuzzy rating, fuzzy decision theory, linguistic criteria, linguistic terms, fuzzy Delphi method, expressed in trapezoidal, numbers, criteria evaluation, fuzzy Delphi
linear parameter varying, parameter varying models, discrete-time nonlinear systems, parameter varying system, parameter varying, varying models, class of discrete-time, discrete-time nonlinear, varying system, scheduling parameter trajectories, nonlinear systems, parameter trajectories, varying, parameter, linear parameter
health care libraries, libraries unit coordinates, care libraries unit, Oxford Deanery, Health Libraries, promotes continuing personal, continuing personal development, health care, Libraries and Information, care libraries, libraries unit, Information Network, pilot mentoring scheme, unit coordinates, promotes continuing
workflow process analysis, accounting technologist, CherylAnn Silberer, Silberer company, process analysis, making a specialty, specialty of workflow, workflow process, CompLete, Silberer, CherylAnn, accounting, technologist, company, analysis
improving power system, power system stability, system widely existing, standard Hamiltonian system, applying passivity-based control, power systems, improving power, nonlinear disturbance attenuation, Hamiltonian, affine non-linear system, non-linear system widely, modelling and nonlinear, stability To tackle, tackle the obstacle, obstacle of applying
magnet problem Diversification, independently fluctuating assets, fluctuating assets reduces, random magnet problem, problem Diversification, Portfolio optimization, independently fluctuating, random magnet, fluctuating assets, assets reduces, magnet problem, asset price movements, Diversification, problem, random
automated diagnostic aids, produce unwarranted levels, automated diagnostic, diagnostic aids, strategies Automated diagnostic, perfectly reliable, aids, disuse by operators, produce unwarranted, unwarranted levels, levels of disuse, automated, concurrence strategies Automated, diagnostic, users
male-oriented computer gaming, computer gaming culture, computer industry, computer, conspicuous gender gap, gaming culture, industry were viewed, culture on careers, careers, industry, male-oriented computer, computer gaming, Computer games, industry If careers, gender gap
stochastic framework Deals, model set validation, model set, probabilistic model set, framework Deals, Deals with probabilistic, set validation, Closed-loop model set, stochastic framework, set, model, model set quality, probabilistic model, validation, Deals
unmeasured third-generation VCT, third-generation VCT views, helical volumetric computed, volumetric computed tomography, computed tomography system, compute unmeasured cone-beam, third-generation helical volumetric, unmeasured cone-beam projections, ultrahyperbolic differential equation, third-generation VCT, VCT views, ordinary differential equations, helical volumetric, volumetric computed, computed tomography
